agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url
Not specified,Not specified,Not specified,1,Not specified,Not specified,Ruimsig,,R 450 000,1 Bedroom Apartment,,Not specified
Not specified,50,Not specified,2,Not specified,Not specified,Georginia,,R 480 000,2 Bedroom House,,Not specified
Not specified,50,Not specified,2,Not specified,Not specified,Georginia,,R 480 000,2 Bedroom House,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Groblerpark,,R 499 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Groblerpark,,R 499 000,2 Bedroom Apartment,,Not specified
Not specified,656,Not specified,5,Not specified,Not specified,Florida Lake,,R 1 385 000,5 Bedroom House,,Not specified
Not specified,656,Not specified,5,Not specified,Not specified,Florida Lake,,R 1 385 000,5 Bedroom House,,Not specified
Not specified,40,Not specified,2,Not specified,Not specified,Fleurhof,,R 420 000,2 Bedroom Apartment,,Not specified
Not specified,40,Not specified,2,Not specified,Not specified,Fleurhof,,R 420 000,2 Bedroom Apartment,,Not specified
Not specified,1.2 ha,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 17 500 000,Farm,,Not specified
Not specified,1.2 ha,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 17 500 000,Farm,,Not specified
Not specified,002,Not specified,3,Not specified,Not specified,Strubensvallei,,R 2 250 000,3 Bedroom House,,Not specified
Not specified,002,Not specified,3,Not specified,Not specified,Strubensvallei,,R 2 250 000,3 Bedroom House,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Florida Lake,,R 450 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Florida Lake,,R 450 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,From R 2 199 900 To R 2 499 900,Melody Manor    Development in Radiokop,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 850 000,2 Bedroom Townhouse,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 850 000,2 Bedroom Townhouse,,Not specified
Not specified,971,Not specified,6,Not specified,Not specified,Floracliffe,,R 5 300 000,6 Bedroom House,,Not specified
Not specified,971,Not specified,6,Not specified,Not specified,Floracliffe,,R 5 300 000,6 Bedroom House,,Not specified
Not specified,61,Not specified,2,Not specified,Not specified,Florida View,,R 550 000,2 Bedroom Apartment,,Not specified
Not specified,61,Not specified,2,Not specified,Not specified,Florida View,,R 550 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Fleurhof,,R 480 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Fleurhof,,R 480 000,2 Bedroom Apartment,,Not specified
Not specified,55,Not specified,1,Not specified,Not specified,Florida,,R 278 000,1 Bedroom Apartment,,Not specified
Not specified,55,Not specified,1,Not specified,Not specified,Florida,,R 278 000,1 Bedroom Apartment,,Not specified
Not specified,066,Not specified,3,Not specified,Not specified,Discovery,,R 1 390 000,3 Bedroom House,,Not specified
Not specified,066,Not specified,3,Not specified,Not specified,Discovery,,R 1 390 000,3 Bedroom House,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Groblerpark,,R 750 000,3 Bedroom Townhouse,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Groblerpark,,R 750 000,3 Bedroom Townhouse,,Not specified
Not specified,48,Not specified,2,Not specified,Not specified,Roodepoort West,,R 390 000,2 Bedroom Apartment,,Not specified
Not specified,48,Not specified,2,Not specified,Not specified,Roodepoort West,,R 390 000,2 Bedroom Apartment,,Not specified
Not specified,113,Not specified,2,Not specified,Not specified,Constantia Kloof,,R 1 050 000,2 Bedroom Apartment,,Not specified
Not specified,113,Not specified,2,Not specified,Not specified,Constantia Kloof,,R 1 050 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,2,2,Not specified,Not specified,Witpoortjie,,R 820 000,2 Bedroom House,,Not specified
Not specified,Not specified,2,2,Not specified,Not specified,Witpoortjie,,R 820 000,2 Bedroom House,,Not specified
Not specified,417,Not specified,4,Not specified,Not specified,Ruimsig,,R 3 200 000,4 Bedroom House,,Not specified
Not specified,417,Not specified,4,Not specified,Not specified,Ruimsig,,R 3 200 000,4 Bedroom House,,Not specified
Not specified,896,Not specified,Not specified,Not specified,Not specified,Horison,,R 799 000,Vacant Land,,Not specified
Not specified,896,Not specified,Not specified,Not specified,Not specified,Horison,,R 799 000,Vacant Land,,Not specified
Not specified,52,Not specified,2,Not specified,Not specified,Maraisburg,,R 470 000,2 Bedroom Apartment,,Not specified
Not specified,52,Not specified,2,Not specified,Not specified,Maraisburg,,R 470 000,2 Bedroom Apartment,,Not specified
Not specified,280,1,3,Not specified,Not specified,Cosmo City,,R 1 100 000,3 Bedroom House,,Not specified
Not specified,280,1,3,Not specified,Not specified,Cosmo City,,R 1 100 000,3 Bedroom House,,Not specified
Not specified,38,Not specified,2,Not specified,Not specified,Fleurhof,,R 360 000,2 Bedroom Apartment,,Not specified
Not specified,38,Not specified,2,Not specified,Not specified,Fleurhof,,R 360 000,2 Bedroom Apartment,,Not specified
Not specified,075,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,075,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,286,Not specified,7,Not specified,Not specified,Cosmo City,,R 1 250 000,7 Bedroom House,,Not specified
Not specified,286,Not specified,7,Not specified,Not specified,Cosmo City,,R 1 250 000,7 Bedroom House,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Ruimsig Country Estate,,R 3 600 000,3 Bedroom House,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Ruimsig Country Estate,,R 3 600 000,3 Bedroom House,,Not specified
Not specified,3.7 ha,Not specified,Not specified,Not specified,Not specified,Sonnedal AH,,R 7 995 000,Farm,,Not specified
Not specified,3.7 ha,Not specified,Not specified,Not specified,Not specified,Sonnedal AH,,R 7 995 000,Farm,,Not specified
Not specified,950,Not specified,4,Not specified,Not specified,Ruimsig,,R 3 300 000,4 Bedroom House,,Not specified
Not specified,950,Not specified,4,Not specified,Not specified,Ruimsig,,R 3 300 000,4 Bedroom House,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,From R 4 549 900 To R 4 949 900,Optima    Development in Amorosa,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Stormill,,R 32 500 000,Industrial Property,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Stormill,,R 32 500 000,Industrial Property,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Honeydew,,R 799 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Honeydew,,R 799 000,2 Bedroom Apartment,,Not specified
Not specified,1.12 ha,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 7 995 000,Farm,,Not specified
Not specified,1.12 ha,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 7 995 000,Farm,,Not specified
Not specified,203,Not specified,4,Not specified,Not specified,Roodekrans AH,,R 3 150 000,4 Bedroom House,,Not specified
Not specified,203,Not specified,4,Not specified,Not specified,Roodekrans AH,,R 3 150 000,4 Bedroom House,,Not specified
Not specified,826,Not specified,Not specified,Not specified,Not specified,Sonnedal AH,,R 6 000 000,Farm,,Not specified
Not specified,826,Not specified,Not specified,Not specified,Not specified,Sonnedal AH,,R 6 000 000,Farm,,Not specified
Not specified,Not specified,2,2,Not specified,Not specified,Weltevreden Park,,R 650 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,2,2,Not specified,Not specified,Weltevreden Park,,R 650 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Florida Park,,R 2 697 000,House,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Florida Park,,R 2 697 000,House,,Not specified
Not specified,2 ha,Not specified,8,Not specified,Not specified,Poortview,,R 11 500 000,8 Bedroom House,,Not specified
Not specified,2 ha,Not specified,8,Not specified,Not specified,Poortview,,R 11 500 000,8 Bedroom House,,Not specified
Not specified,969,3,5,Not specified,Not specified,Weltevreden Park,,R 2 099 000,5 Bedroom House,,Not specified
Not specified,969,3,5,Not specified,Not specified,Weltevreden Park,,R 2 099 000,5 Bedroom House,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 890 000,Vacant Land,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Ruimsig,,R 890 000,Vacant Land,,Not specified
Not specified,Not specified,Not specified,4,Not specified,Not specified,Wilro Park,,R 1 550 000,4 Bedroom House,,Not specified
Not specified,Not specified,Not specified,4,Not specified,Not specified,Wilro Park,,R 1 550 000,4 Bedroom House,,Not specified
Not specified,556,Not specified,4,Not specified,Not specified,Constantia Kloof,,R 3 000 000,4 Bedroom House,,Not specified
Not specified,556,Not specified,4,Not specified,Not specified,Constantia Kloof,,R 3 000 000,4 Bedroom House,,Not specified
Not specified,602,Not specified,12,Not specified,Not specified,Florida,,R 2 400 000,12 Bedroom House,,Not specified
Not specified,602,Not specified,12,Not specified,Not specified,Florida,,R 2 400 000,12 Bedroom House,,Not specified
Not specified,906,Not specified,Not specified,Not specified,Not specified,Amorosa,,R 4 000 000,Vacant Land,,Not specified
Not specified,906,Not specified,Not specified,Not specified,Not specified,Amorosa,,R 4 000 000,Vacant Land,,Not specified
Not specified,331,Not specified,Not specified,Not specified,Not specified,Amorosa,,R 9 200 000,Vacant Land,,Not specified
Not specified,331,Not specified,Not specified,Not specified,Not specified,Amorosa,,R 9 200 000,Vacant Land,,Not specified
Not specified,991,Not specified,Not specified,Not specified,Not specified,Maraisburg,,R 999 000,Commercial Property,,Not specified
Not specified,991,Not specified,Not specified,Not specified,Not specified,Maraisburg,,R 999 000,Commercial Property,,Not specified
Not specified,54,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 850 000,2 Bedroom Townhouse,,Not specified
Not specified,54,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 850 000,2 Bedroom Townhouse,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Radiokop,,R 2 199 900,3 Bedroom Townhouse,,Not specified
Not specified,Not specified,Not specified,3,Not specified,Not specified,Radiokop,,R 2 199 900,3 Bedroom Townhouse,,Not specified
Not specified,Not specified,1,3,Not specified,Not specified,Florida,,R 495 000,3 Bedroom Townhouse,,Not specified
Not specified,Not specified,1,3,Not specified,Not specified,Florida,,R 495 000,3 Bedroom Townhouse,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Groblerpark,,R 550 000,2 Bedroom Townhouse,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Groblerpark,,R 550 000,2 Bedroom Townhouse,,Not specified
Not specified,40,Not specified,Not specified,Not specified,Not specified,Not specified,,From R 849 000 To R 1 225 000,Willow Falls Apartments    Development in Wilgeheuwel,,Not specified
Not specified,200,Not specified,2,Not specified,Not specified,Fleurhof,,R 810 000,2 Bedroom House,,Not specified
Not specified,200,Not specified,2,Not specified,Not specified,Fleurhof,,R 810 000,2 Bedroom House,,Not specified
Not specified,000,Not specified,4,Not specified,Not specified,Ruimsig,,R 8 900 000,4 Bedroom House,,Not specified
Not specified,000,Not specified,4,Not specified,Not specified,Ruimsig,,R 8 900 000,4 Bedroom House,,Not specified
Not specified,Not specified,2,2,Not specified,Not specified,Weltevreden Park,,R 830 000,2 Bedroom Townhouse,,Not specified
Not specified,Not specified,2,2,Not specified,Not specified,Weltevreden Park,,R 830 000,2 Bedroom Townhouse,,Not specified
Not specified,59,Not specified,2,Not specified,Not specified,Horizon View,,R 550 000,2 Bedroom House,,Not specified
Not specified,59,Not specified,2,Not specified,Not specified,Horizon View,,R 550 000,2 Bedroom House,,Not specified
Not specified,873,Not specified,Not specified,Not specified,Not specified,Roodepoort Central,,R 4 999 999,Commercial Property,,Not specified
Not specified,873,Not specified,Not specified,Not specified,Not specified,Roodepoort Central,,R 4 999 999,Commercial Property,,Not specified
Not specified,211,Not specified,2,Not specified,Not specified,Wilfordon,,R 800 000,2 Bedroom House,,Not specified
Not specified,211,Not specified,2,Not specified,Not specified,Wilfordon,,R 800 000,2 Bedroom House,,Not specified
Not specified,38,Not specified,2,Not specified,Not specified,Fleurhof,SUNDAY 9 FEBRUARY 2025  – VIEW BY APPOINTMENT ONLY – CONTACT AGENT TO ARRANGE,R 460 000,2 Bedroom Apartment,,Not specified
Not specified,38,Not specified,2,Not specified,Not specified,Fleurhof,SUNDAY 9 FEBRUARY 2025  – VIEW BY APPOINTMENT ONLY – CONTACT AGENT TO ARRANGE,R 460 000,2 Bedroom Apartment,,Not specified
Not specified,101,Not specified,2,Not specified,Not specified,Florida,,R 499 000,2 Bedroom Apartment,,Not specified
Not specified,101,Not specified,2,Not specified,Not specified,Florida,,R 499 000,2 Bedroom Apartment,,Not specified
Not specified,800,Not specified,Not specified,Not specified,Not specified,Honeydew,,R 6 900 000,Farm,,Not specified
Not specified,800,Not specified,Not specified,Not specified,Not specified,Honeydew,,R 6 900 000,Farm,,Not specified
Not specified,923,Not specified,3,Not specified,Not specified,Florida,,R 1 570 000,3 Bedroom House,,Not specified
Not specified,923,Not specified,3,Not specified,Not specified,Florida,,R 1 570 000,3 Bedroom House,,Not specified
Not specified,110,Not specified,2,Not specified,Not specified,Helderkruin,,R 680 000,2 Bedroom Townhouse,,Not specified
Not specified,110,Not specified,2,Not specified,Not specified,Helderkruin,,R 680 000,2 Bedroom Townhouse,,Not specified
Not specified,500,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,500,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,355,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,355,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,200,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,200,Not specified,Not specified,Not specified,Not specified,Mostyn Park,,POA,Vacant Land,,Not specified
Not specified,51,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 530 000,2 Bedroom Apartment,,Not specified
Not specified,51,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 530 000,2 Bedroom Apartment,,Not specified
Not specified,41,Not specified,2,Not specified,Not specified,Fleurhof,,R 674 900,2 Bedroom Apartment,,Not specified
Not specified,41,Not specified,2,Not specified,Not specified,Fleurhof,,R 674 900,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,1,Not specified,Not specified,Weltevreden Park,,R 570 000,1 Bedroom House,,Not specified
Not specified,Not specified,Not specified,1,Not specified,Not specified,Weltevreden Park,,R 570 000,1 Bedroom House,,Not specified
Not specified,52,Not specified,2,Not specified,Not specified,Groblerpark,,R 699 000,2 Bedroom Townhouse,,Not specified
Not specified,52,Not specified,2,Not specified,Not specified,Groblerpark,,R 699 000,2 Bedroom Townhouse,,Not specified
Not specified,Not specified,1,2,Not specified,Not specified,Florida,,R 470 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,1,2,Not specified,Not specified,Florida,,R 470 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Weltevreden Park,,R 650 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Weltevreden Park,,R 650 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,From R 3 975 000 To R 5 520 000,Canyon Villas    Development in Eagle Canyon Golf Estate,,Not specified
Not specified,000,Not specified,6,Not specified,Not specified,Ruimsig,,R 14 600 000,6 Bedroom House,,Not specified
Not specified,000,Not specified,6,Not specified,Not specified,Ruimsig,,R 14 600 000,6 Bedroom House,,Not specified
Not specified,824,Not specified,Not specified,Not specified,Not specified,Constantia Kloof,,R 500 000 000,Commercial Property,,Not specified
Not specified,824,Not specified,Not specified,Not specified,Not specified,Constantia Kloof,,R 500 000 000,Commercial Property,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Fleurhof,,R 400 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Fleurhof,,R 400 000,2 Bedroom Apartment,,Not specified
Not specified,103,Not specified,2,Not specified,Not specified,Helderkruin,,R 680 000,2 Bedroom Townhouse,,Not specified
Not specified,103,Not specified,2,Not specified,Not specified,Helderkruin,,R 680 000,2 Bedroom Townhouse,,Not specified
Not specified,526,Not specified,4,Not specified,Not specified,Quellerina,,R 2 199 000,4 Bedroom House,,Not specified
Not specified,526,Not specified,4,Not specified,Not specified,Quellerina,,R 2 199 000,4 Bedroom House,,Not specified
Not specified,991,Not specified,3,Not specified,Not specified,Maraisburg,,R 999 000,3 Bedroom House,,Not specified
Not specified,991,Not specified,3,Not specified,Not specified,Maraisburg,,R 999 000,3 Bedroom House,,Not specified
Not specified,036,Not specified,4,Not specified,Not specified,Horizon View,,R 1 450 000,4 Bedroom House,,Not specified
Not specified,036,Not specified,4,Not specified,Not specified,Horizon View,,R 1 450 000,4 Bedroom House,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Honeydew,,R 499 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Honeydew,,R 499 000,2 Bedroom Apartment,,Not specified
Not specified,027,Not specified,4,Not specified,Not specified,Kloofendal,,R 2 195 000,4 Bedroom House,,Not specified
Not specified,027,Not specified,4,Not specified,Not specified,Kloofendal,,R 2 195 000,4 Bedroom House,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Honeydew Manor,,R 875 000,2 Bedroom Townhouse,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Honeydew Manor,,R 875 000,2 Bedroom Townhouse,,Not specified
Not specified,180,Not specified,Not specified,Not specified,Not specified,Florida,,R 2 150 000,House,,Not specified
Not specified,180,Not specified,Not specified,Not specified,Not specified,Florida,,R 2 150 000,House,,Not specified
Not specified,285,Not specified,7,Not specified,Not specified,Cosmo City,,R 1 250 000,7 Bedroom House,,Not specified
Not specified,285,Not specified,7,Not specified,Not specified,Cosmo City,,R 1 250 000,7 Bedroom House,,Not specified
Not specified,2.447 ha,Not specified,4,Not specified,Not specified,Ruimsig,,R 7 500 000,4 Bedroom House,,Not specified
Not specified,2.447 ha,Not specified,4,Not specified,Not specified,Ruimsig,,R 7 500 000,4 Bedroom House,,Not specified
Not specified,768,Not specified,3,Not specified,Not specified,Florida,,R 1 250 000,3 Bedroom House,,Not specified
Not specified,768,Not specified,3,Not specified,Not specified,Florida,,R 1 250 000,3 Bedroom House,,Not specified
Not specified,43,Not specified,2,Not specified,Not specified,Fleurhof,,R 500 000,2 Bedroom Apartment,,Not specified
Not specified,43,Not specified,2,Not specified,Not specified,Fleurhof,,R 500 000,2 Bedroom Apartment,,Not specified
Not specified,69,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 650 000,2 Bedroom Apartment,,Not specified
Not specified,69,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 650 000,2 Bedroom Apartment,,Not specified
Not specified,135,2,3,Not specified,Not specified,Laser Park,,R 810 000,3 Bedroom Apartment,,Not specified
Not specified,135,2,3,Not specified,Not specified,Laser Park,,R 810 000,3 Bedroom Apartment,,Not specified
Not specified,468,Not specified,3,Not specified,Not specified,Cosmo City,,R 1 499 999,3 Bedroom House,,Not specified
Not specified,468,Not specified,3,Not specified,Not specified,Cosmo City,,R 1 499 999,3 Bedroom House,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 850 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Wilgeheuwel,,R 850 000,2 Bedroom Apartment,,Not specified
Not specified,66,Not specified,2,Not specified,Not specified,Georginia,,R 730 000,2 Bedroom Townhouse,,Not specified
Not specified,66,Not specified,2,Not specified,Not specified,Georginia,,R 730 000,2 Bedroom Townhouse,,Not specified
Not specified,40,Not specified,Not specified,Not specified,Not specified,Not specified,,From R 849 000 To R 1 225 000,Willow Falls Apartments    Development in Wilgeheuwel,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Horison,,R 630 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Horison,,R 630 000,2 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,1,Not specified,Not specified,Honeypark,,R 370 000,1 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,1,Not specified,Not specified,Honeypark,,R 370 000,1 Bedroom Apartment,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Florida,,R 690 000,2 Bedroom House,,Not specified
Not specified,Not specified,Not specified,2,Not specified,Not specified,Florida,,R 690 000,2 Bedroom House,,Not specified
Not specified,500,Not specified,Not specified,Not specified,Not specified,Ruimsig AH,,R 6 500 000,Farm,,Not specified
Not specified,500,Not specified,Not specified,Not specified,Not specified,Ruimsig AH,,R 6 500 000,Farm,,Not specified
